Mataquescuintla,3,94
Monjas,12,181
San Carlos Alzatate,,8
San Luis Jilotepeque,67,353
San Manuel Chaparrón,6,58
San Pedro Pinula,5,97
Agua Blanca,7,19
Asunción Mita,21,356
Atescatempa,13,149
Comapa,9,102
Conguaco,6,21
El Adelanto,,97
El Progreso,16,245
Jalpatagua,4,146
Jerez,4,65
Jutiapa,243,2999
Moyuta,6,50
Pasaco,,14
Quesada,18,221
San José Acatempa,13,259
Santa Catarina Mita,9,274
Yupiltepeque,13,169
Zapotitlán,1,64
El Estor,25,28
Livingston,109,35
Los Amates,20,20
Morales,19,122
Puerto Barrios,33,146
Cabañas,8,117
Estanzuela,19,84
Gualán,91,484
Huité,14,100
La Unión,4,174
Río Hondo,23,86
San Diego,6,57
San Jorge,12,47
Teculután,25,89
Usumatlan,11,39
Zacapa,165,299
Camotán,22,268
Chiquimula,222,316
Concepción Las Minas,15,69
Esquipulas,275,151
Ipala,15,125
Jocotán,9,58
Olopa,3,60
Quetzaltepeque,8,293
San Jacinto,10,39
San José La Arada,34,24
San Juan La Ermita,13,28
Cahabón,5,28
Chahal,14,41
Chisec,27,13
Cobán,5,229
Fray Bartolomé de las Casas,76,25
Lanquín,1,18
Panzós,1,42
Raxruha,7,4
San Cristóbal Verapaz,3,30
San Juan Chamelco,,3
San Pedro Carchá,9,118
Santa Catarina la Tinta,10,112
Santa Cruz Verapaz,1,33
Senahú,4,42
Tactic,,40
Tamahú,,16
Tucurú,2,52
Cubulco,41,135
El Chol,8,36
Granados,69,135
Purulhá,,17
Rabinal,77,679
Salamá,59,490
San Jerónimo,48,130
San Miguel Chicaj,36,256
Flores,57,154
Melchor de Mencos,8,29
San Andrés,20,62
San Benito,69,155
San Francisco,57,54
San José,6,31
Dolores,81,146
El Chal,46,41
Poptún,115,90
San Luis,37,85
Santa Ana,97,174
La Libertad,109,104
Las Cruces,10,53
Sayaxché,29,70
Ixcán,19,74
Nebaj,,2
Ixil,0,2
